Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.007	0.014	0.029	0.038	0.030	0.038	0.044	0.021	0.039	0.042	0.027	0.031	0.046	0.022	0.039	0.040	0.025	0.039	0.039	0.003	0.007	0.122	0.135	0.140	0.139	0.139	0.148	0.122	0.148	0.145	0.131	0.136	0.151	0.125	0.146	0.148	0.129	0.147	0.142	0.005	0.004	0.231	0.237	0.246	0.240	0.242	0.249	0.223	0.253	0.254	0.237	0.237	0.254	0.231	0.247	0.255	0.238	0.256	0.246	0.003
0:10:03	0.011	0.014	0.037	0.048	0.041	0.052	0.064	0.036	0.054	0.054	0.039	0.050	0.062	0.041	0.055	0.054	0.036	0.057	0.050	0.011	0.017	0.121	0.137	0.150	0.150	0.154	0.168	0.138	0.163	0.159	0.147	0.155	0.167	0.143	0.158	0.156	0.138	0.161	0.158	0.009	0.014	0.229	0.244	0.256	0.257	0.263	0.272	0.247	0.271	0.263	0.252	0.263	0.274	0.248	0.268	0.261	0.246	0.266	0.260	0.004
0:15:03	0.019	0.016	0.044	0.055	0.053	0.069	0.080	0.050	0.066	0.064	0.053	0.067	0.082	0.061	0.072	0.069	0.055	0.074	0.061	0.012	0.025	0.120	0.154	0.165	0.156	0.177	0.186	0.158	0.172	0.164	0.158	0.170	0.187	0.165	0.173	0.172	0.163	0.178	0.171	0.012	0.022	0.225	0.260	0.273	0.260	0.284	0.288	0.262	0.279	0.272	0.259	0.273	0.293	0.265	0.279	0.280	0.269	0.284	0.279	0.010
0:20:03	0.026	0.020	0.047	0.058	0.072	0.082	0.092	0.064	0.083	0.077	0.065	0.078	0.097	0.075	0.087	0.086	0.072	0.086	0.076	0.017	0.034	0.123	0.157	0.161	0.176	0.187	0.197	0.165	0.188	0.181	0.169	0.185	0.202	0.181	0.191	0.188	0.175	0.195	0.181	0.013	0.028	0.226	0.259	0.268	0.277	0.293	0.299	0.270	0.297	0.291	0.277	0.293	0.308	0.289	0.295	0.298	0.276	0.300	0.287	0.015
0:25:03	0.028	0.023	0.056	0.067	0.083	0.101	0.109	0.079	0.101	0.093	0.082	0.094	0.117	0.088	0.101	0.101	0.090	0.099	0.094	0.019	0.043	0.125	0.165	0.172	0.191	0.208	0.218	0.184	0.207	0.197	0.188	0.201	0.222	0.195	0.202	0.202	0.198	0.206	0.198	0.016	0.031	0.225	0.271	0.272	0.295	0.316	0.324	0.285	0.312	0.305	0.293	0.309	0.329	0.301	0.303	0.307	0.305	0.315	0.299	0.019
0:30:03	0.028	0.030	0.060	0.077	0.101	0.115	0.125	0.095	0.115	0.106	0.102	0.105	0.131	0.104	0.117	0.119	0.106	0.118	0.111	0.019	0.050	0.134	0.169	0.181	0.207	0.216	0.226	0.201	0.220	0.207	0.206	0.208	0.235	0.214	0.219	0.221	0.211	0.219	0.220	0.024	0.037	0.242	0.274	0.287	0.309	0.320	0.329	0.310	0.326	0.312	0.312	0.309	0.341	0.317	0.324	0.329	0.317	0.324	0.327	0.020
0:35:03	0.031	0.033	0.065	0.081	0.118	0.128	0.142	0.106	0.131	0.125	0.118	0.115	0.146	0.121	0.130	0.136	0.123	0.135	0.129	0.028	0.058	0.134	0.167	0.183	0.226	0.230	0.250	0.211	0.236	0.231	0.220	0.217	0.250	0.230	0.232	0.239	0.225	0.242	0.238	0.027	0.037	0.235	0.274	0.283	0.333	0.339	0.358	0.312	0.338	0.337	0.329	0.323	0.354	0.339	0.342	0.340	0.328	0.344	0.346	0.020
0:40:03	0.037	0.039	0.075	0.084	0.132	0.139	0.154	0.125	0.148	0.142	0.130	0.134	0.156	0.137	0.141	0.154	0.133	0.149	0.142	0.037	0.062	0.144	0.180	0.190	0.237	0.240	0.261	0.231	0.251	0.249	0.238	0.243	0.265	0.240	0.246	0.258	0.243	0.257	0.243	0.034	0.042	0.252	0.285	0.292	0.342	0.342	0.371	0.334	0.353	0.355	0.345	0.352	0.370	0.349	0.353	0.362	0.350	0.364	0.346	0.028
0:45:03	0.046	0.048	0.075	0.092	0.150	0.155	0.170	0.142	0.159	0.152	0.148	0.154	0.167	0.151	0.153	0.168	0.151	0.166	0.153	0.044	0.065	0.152	0.182	0.197	0.259	0.265	0.271	0.247	0.266	0.255	0.250	0.254	0.277	0.252	0.256	0.275	0.255	0.271	0.255	0.038	0.044	0.262	0.290	0.303	0.366	0.370	0.379	0.348	0.375	0.356	0.359	0.357	0.382	0.359	0.358	0.382	0.358	0.380	0.362	0.029
																																																												
Read 2:485/20,528/20																																																											
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3042	4023	5009	13022	14076	15073	13028	14043	15023	13024	14005	15095	3038	4017	5024	13088	14097	15082	100	100	5042	6057	7079	15073	16167	17125	15111	16109	17025	15080	16072	17108	5052	6081	7096	15152	16122	17123	100
0:05:03	117	1050	2022	3026	12034	13035	14048	12047	13096	14056	12030	13085	14088	1072	2059	3097	12056	13010	14003	184	138	3064	4110	5086	14057	15057	16112	14065	15102	16113	14122	15182	16108	3132	4064	5158	14116	15023	16044	168	160	5137	6203	7149	16122	17084	18114	16108	17162	18113	16203	17228	18195	5171	6147	7175	16133	17106	18076	190
0:10:03	143	1128	2065	3085	13039	14106	15142	13114	14181	15097	13120	14120	15151	1139	2129	3137	13071	14081	15007	235	157	3186	4102	5087	15114	16199	17215	15120	16222	17135	15194	16174	17213	3149	4135	5229	15085	16174	17073	223	237	5206	6131	7149	17178	18224	19294	17134	18318	19198	17292	18207	19309	5213	6219	7323	17165	18264	19123	260
0:15:03	193	1157	2143	3165	14113	15168	16230	14171	15246	16154	14191	15149	16244	1162	2154	3163	14077	15158	16073	238	179	3205	4195	5223	16181	17241	18275	16231	17314	18186	16282	17219	18293	3199	4225	5233	16086	17161	18136	246	326	5258	6197	7226	18184	19303	20372	18323	19343	20237	18347	19265	20308	5240	6264	7271	18126	19249	20228	304
0:20:03	220	1237	2187	3177	15139	16254	17271	15196	16331	17169	15266	16193	17258	1212	2193	3209	15093	16208	17126	292	229	3329	4199	5218	17228	18329	19287	17210	18371	19188	17281	18260	19335	3226	4204	5298	17130	18248	19195	330	363	5345	6212	7256	19282	20384	21386	19269	20454	21270	19335	20329	21355	5254	6247	7328	19218	20271	21211	389
0:25:03	225	1336	2192	3244	16234	17300	18303	16258	17358	18218	16275	17226	18325	1256	2211	3236	16098	17291	18167	349	238	3435	4195	5256	18279	19314	20310	18263	19373	20222	18344	19281	20379	3288	4297	5336	18195	19345	20230	382	450	5464	6270	7276	20350	21334	22328	20351	21426	22225	20361	21294	22396	5336	6356	7434	20258	21415	22282	477
0:30:03	277	1408	2220	3284	17286	18306	19344	17341	18434	19261	17318	18249	19367	1299	2264	3304	17137	18368	19197	408	309	3448	4285	5359	19382	20397	21363	19441	20494	21279	19320	20310	21388	3350	4286	5352	19183	20438	21214	471	488	5504	6384	7433	21444	22490	23373	21469	22577	23353	21416	22344	23393	5365	6315	7378	21269	22443	23257	503
0:35:03	343	1415	2273	3324	18311	19380	20354	18413	19517	20262	18368	19349	20404	1366	2314	3355	18205	19404	20230	491	356	3441	4332	5353	20339	21396	22445	20464	21525	22359	20398	21384	22405	3391	4358	5433	20245	21465	22291	514	514	5506	6336	7436	22389	23408	24491	22545	23528	24380	22477	23417	24483	5461	6397	7492	22312	23482	24293	525
0:40:03	396	1514	2320	3421	19318	20430	21402	19454	20571	21357	19427	20368	21405	1464	2409	3425	19217	20493	21260	500	401	3591	4410	5505	21325	22450	23484	21524	22615	23448	21498	22426	23413	3525	4473	5446	21220	22572	23319	592	571	5666	6475	7541	23389	24475	25498	23604	24666	25532	23586	24520	25424	5544	6554	7528	23242	24588	25413	580
0:45:03	479	1606	2375	3503	20339	21510	22429	20527	21639	22398	20461	21405	22496	1533	2425	3476	20222	21560	22345	516	453	3658	4437	5596	22369	23565	24509	22600	23661	24453	22514	23459	24539	3627	4442	5554	22313	23660	24383	640	595	5737	6514	7628	24416	25630	26595	24673	25683	26533	24546	25499	26580	5665	6480	7630	24333	25716	26450	677
