Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.002	0.014	0.025	0.035	0.027	0.035	0.043	0.025	0.031	0.047	0.024	0.035	0.042	0.023	0.032	0.048	0.026	0.033	0.038	0.007	0.001	0.118	0.129	0.138	0.133	0.135	0.152	0.130	0.131	0.147	0.125	0.145	0.147	0.131	0.136	0.150	0.135	0.138	0.142	0.008	0.006	0.221	0.231	0.242	0.241	0.237	0.258	0.232	0.237	0.249	0.226	0.252	0.257	0.232	0.245	0.259	0.243	0.241	0.250	0.005
0:10:03	0.011	0.016	0.030	0.043	0.044	0.053	0.054	0.037	0.049	0.061	0.044	0.053	0.059	0.033	0.042	0.062	0.041	0.050	0.058	0.011	0.001	0.126	0.132	0.149	0.153	0.156	0.159	0.142	0.155	0.162	0.149	0.157	0.160	0.139	0.150	0.164	0.145	0.156	0.159	0.014	0.012	0.233	0.239	0.253	0.253	0.262	0.268	0.249	0.262	0.266	0.257	0.260	0.263	0.244	0.259	0.270	0.249	0.263	0.265	0.009
0:15:03	0.016	0.016	0.031	0.049	0.064	0.069	0.069	0.055	0.059	0.071	0.063	0.069	0.074	0.047	0.053	0.074	0.054	0.061	0.073	0.013	0.008	0.124	0.140	0.159	0.166	0.171	0.172	0.156	0.169	0.180	0.170	0.171	0.177	0.156	0.156	0.179	0.163	0.171	0.182	0.024	0.013	0.226	0.249	0.268	0.271	0.272	0.281	0.261	0.274	0.283	0.278	0.274	0.280	0.256	0.263	0.287	0.265	0.281	0.286	0.012
0:20:03	0.023	0.022	0.033	0.056	0.077	0.081	0.084	0.071	0.074	0.089	0.078	0.087	0.085	0.059	0.072	0.089	0.070	0.076	0.088	0.022	0.018	0.128	0.139	0.159	0.180	0.187	0.187	0.172	0.176	0.196	0.185	0.188	0.186	0.162	0.176	0.193	0.175	0.179	0.192	0.030	0.013	0.238	0.241	0.262	0.282	0.290	0.294	0.280	0.280	0.302	0.290	0.298	0.290	0.271	0.277	0.294	0.276	0.286	0.298	0.019
0:25:03	0.032	0.031	0.036	0.058	0.088	0.100	0.094	0.088	0.090	0.105	0.091	0.100	0.099	0.076	0.085	0.103	0.085	0.095	0.105	0.024	0.022	0.138	0.145	0.158	0.197	0.204	0.196	0.198	0.197	0.209	0.197	0.206	0.202	0.185	0.194	0.203	0.188	0.200	0.212	0.032	0.019	0.239	0.252	0.264	0.302	0.313	0.306	0.301	0.302	0.315	0.305	0.311	0.306	0.293	0.301	0.307	0.292	0.309	0.316	0.027
0:30:03	0.036	0.041	0.037	0.066	0.100	0.112	0.108	0.099	0.101	0.121	0.102	0.113	0.115	0.092	0.099	0.115	0.103	0.110	0.125	0.030	0.026	0.141	0.141	0.175	0.205	0.214	0.217	0.206	0.209	0.227	0.208	0.218	0.218	0.199	0.205	0.222	0.210	0.218	0.232	0.032	0.023	0.242	0.243	0.279	0.306	0.315	0.319	0.314	0.313	0.330	0.318	0.319	0.326	0.302	0.314	0.332	0.312	0.321	0.334	0.027
0:35:03	0.043	0.046	0.037	0.069	0.119	0.123	0.119	0.110	0.117	0.139	0.118	0.131	0.127	0.107	0.113	0.134	0.119	0.124	0.138	0.040	0.035	0.150	0.145	0.176	0.222	0.233	0.224	0.219	0.221	0.243	0.224	0.237	0.233	0.212	0.214	0.242	0.223	0.226	0.240	0.039	0.027	0.257	0.249	0.283	0.327	0.339	0.330	0.321	0.323	0.346	0.330	0.346	0.336	0.316	0.320	0.348	0.325	0.334	0.340	0.029
0:40:03	0.048	0.055	0.041	0.075	0.131	0.134	0.133	0.122	0.134	0.155	0.129	0.150	0.146	0.118	0.126	0.145	0.133	0.143	0.150	0.047	0.044	0.162	0.148	0.179	0.233	0.236	0.237	0.231	0.240	0.258	0.238	0.255	0.251	0.227	0.234	0.253	0.238	0.246	0.255	0.048	0.035	0.269	0.253	0.288	0.340	0.346	0.343	0.333	0.347	0.364	0.347	0.356	0.360	0.335	0.339	0.356	0.347	0.346	0.363	0.031
0:45:03	0.056	0.062	0.041	0.080	0.143	0.150	0.149	0.136	0.145	0.173	0.140	0.162	0.160	0.133	0.143	0.161	0.149	0.158	0.166	0.056	0.045	0.166	0.145	0.182	0.246	0.251	0.255	0.241	0.249	0.279	0.244	0.268	0.264	0.236	0.247	0.267	0.249	0.258	0.272	0.049	0.040	0.269	0.249	0.290	0.347	0.353	0.356	0.342	0.349	0.380	0.350	0.375	0.370	0.337	0.357	0.372	0.356	0.367	0.374	0.039
																																																												
Read 2:485/20,528/20																																																												
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3027	4038	5088	13098	14041	15082	13048	14081	15094	13069	14017	15063	3067	4068	5057	13096	14094	15065	100	100	5122	6078	7103	15134	16085	17172	15072	16120	17099	15166	16024	17069	5113	6081	7125	15120	16161	17067	100
0:05:03	175	1052	2040	3044	12063	13049	14080	12058	13030	14069	12062	13065	14017	1048	2072	3038	12019	13076	14033	123	135	3136	4130	5101	14152	15104	16097	14079	15100	16078	14103	15125	16100	3136	4115	5095	14100	15122	16040	183	164	5199	6175	7114	16187	17127	18153	16119	17131	18120	16184	17152	18131	5154	6177	7127	16141	17172	18130	132
0:10:03	190	1118	2101	3119	13069	14098	15099	13096	14045	15121	13094	14085	15097	1131	2111	3125	13044	14131	15098	160	183	3165	4159	5138	15163	16119	17140	15162	16134	17180	15143	16107	17152	3184	4130	5192	15058	16206	17142	282	226	5212	6171	7207	17262	18151	19154	17257	18172	19209	17147	18137	19208	5189	6182	7193	17105	18206	19241	226
0:15:03	223	1164	2173	3135	14078	15187	16118	14164	15079	16167	14139	15104	16158	1171	2194	3221	14130	15139	16193	192	245	3182	4263	5149	16087	17216	18136	16185	17106	18211	16163	17145	18192	3187	4239	5238	16176	17146	18262	302	257	5198	6313	7181	18152	19224	20213	18253	19171	20257	18250	19217	20204	5232	6296	7319	18183	19206	20333	276
0:20:03	250	1260	2273	3199	15160	16188	17182	15193	16141	17232	15199	16173	17242	1211	2293	3304	15206	16203	17266	247	315	3315	4372	5244	17206	18200	19204	17290	18235	19256	17217	18183	19333	3236	4319	5393	17283	18284	19283	338	283	5351	6419	7249	19294	20286	21261	19384	20258	21341	19276	20256	21341	5268	6354	7451	19357	20346	21336	369
0:25:03	259	1270	2373	3284	16252	17268	18187	16269	17240	18272	16203	17260	18333	1249	2319	3371	16219	17269	18333	255	394	3348	4391	5314	18261	19273	20261	18313	19272	20341	18221	19353	20343	3292	4360	5403	18263	19324	20344	363	328	5443	6473	7358	20358	21363	22339	20348	21329	22427	20244	21357	22367	5297	6445	7476	20286	21337	22396	467
0:30:03	347	1364	2374	3296	17309	18303	19251	17309	18320	19336	17231	18273	19405	1339	2399	3429	17294	18332	19425	322	477	3444	4447	5322	19376	20324	21320	19361	20401	21361	19241	20344	21468	3372	4436	5520	19346	20391	21432	408	344	5460	6469	7350	21405	22383	23403	21413	22471	23429	21278	22370	23470	5401	6455	7591	21417	22468	23458	495
0:35:03	387	1380	2439	3378	18400	19391	20252	18333	19404	20368	18306	19291	20434	1349	2426	3446	18356	19393	20453	361	556	3387	4527	5413	20459	21483	22254	20338	21426	22378	20381	21391	22529	3396	4495	5502	20383	21429	22463	502	434	5426	6565	7437	22519	23492	24323	22392	23519	24436	22428	23486	24568	5402	6587	7574	22429	23485	24466	514
0:40:03	401	1384	2537	3445	19465	20452	21336	19365	20461	21394	19336	20313	21474	1418	2463	3542	19432	20476	21491	447	638	3397	4608	5512	21543	22533	23359	21412	22496	23451	21367	22325	23538	3418	4540	5542	21433	22574	23492	508	497	5449	6648	7529	23634	24571	25390	23432	24496	25468	23446	24424	25562	5497	6601	7604	23465	24603	25553	537
0:45:03	452	1466	2584	3459	20560	21529	22346	20394	21482	22403	20389	21338	22562	1474	2537	3628	20485	21535	22552	546	714	3484	4610	5549	22643	23622	24416	22484	23569	24477	22484	23419	24639	3490	4622	5691	22515	23537	24621	564	574	5569	6680	7600	24664	25698	26469	24574	25632	26553	24581	25460	26641	5582	6653	7758	24538	25569	26693	539
