Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.009	0.015	0.027	0.033	0.027	0.039	0.043	0.025	0.038	0.046	0.022	0.031	0.041	0.024	0.033	0.047	0.029	0.033	0.035	0.009	0.006	0.117	0.132	0.138	0.127	0.143	0.152	0.125	0.144	0.148	0.125	0.131	0.150	0.133	0.137	0.157	0.135	0.140	0.135	0.006	0.008	0.221	0.234	0.244	0.231	0.253	0.258	0.230	0.248	0.250	0.231	0.239	0.255	0.236	0.241	0.258	0.243	0.249	0.238	0.001
0:10:03	0.015	0.021	0.036	0.038	0.046	0.057	0.057	0.040	0.053	0.061	0.041	0.048	0.058	0.042	0.045	0.061	0.043	0.045	0.053	0.016	0.006	0.124	0.136	0.146	0.148	0.159	0.158	0.143	0.159	0.164	0.147	0.153	0.167	0.151	0.148	0.163	0.150	0.151	0.159	0.009	0.012	0.233	0.243	0.252	0.254	0.262	0.266	0.246	0.263	0.271	0.247	0.259	0.271	0.260	0.258	0.267	0.254	0.252	0.264	0.003
0:15:03	0.016	0.030	0.037	0.044	0.065	0.077	0.069	0.055	0.064	0.071	0.059	0.067	0.077	0.055	0.065	0.077	0.053	0.063	0.065	0.019	0.016	0.131	0.146	0.152	0.171	0.182	0.172	0.158	0.166	0.177	0.167	0.173	0.179	0.157	0.166	0.182	0.163	0.167	0.166	0.010	0.014	0.236	0.249	0.255	0.275	0.289	0.280	0.268	0.273	0.282	0.269	0.274	0.287	0.264	0.274	0.285	0.271	0.270	0.266	0.008
0:20:03	0.023	0.039	0.039	0.046	0.081	0.089	0.085	0.069	0.074	0.083	0.073	0.082	0.090	0.070	0.079	0.091	0.065	0.075	0.080	0.025	0.022	0.146	0.140	0.149	0.191	0.195	0.190	0.172	0.180	0.186	0.180	0.187	0.195	0.178	0.183	0.196	0.168	0.178	0.187	0.010	0.020	0.254	0.241	0.257	0.299	0.303	0.298	0.274	0.289	0.291	0.288	0.292	0.299	0.283	0.289	0.296	0.275	0.288	0.288	0.009
0:25:03	0.028	0.040	0.048	0.046	0.100	0.100	0.098	0.087	0.090	0.102	0.092	0.099	0.102	0.087	0.093	0.110	0.083	0.090	0.096	0.030	0.023	0.143	0.148	0.155	0.208	0.206	0.204	0.196	0.191	0.203	0.195	0.206	0.211	0.194	0.198	0.212	0.187	0.198	0.198	0.011	0.021	0.248	0.251	0.264	0.310	0.310	0.313	0.300	0.292	0.311	0.297	0.309	0.314	0.298	0.301	0.313	0.293	0.308	0.305	0.017
0:30:03	0.034	0.046	0.053	0.056	0.111	0.120	0.112	0.103	0.102	0.115	0.111	0.119	0.117	0.100	0.110	0.124	0.100	0.109	0.109	0.036	0.031	0.151	0.154	0.166	0.218	0.228	0.215	0.204	0.210	0.220	0.212	0.226	0.226	0.203	0.216	0.233	0.209	0.218	0.218	0.016	0.025	0.251	0.261	0.269	0.324	0.335	0.316	0.308	0.312	0.323	0.316	0.333	0.331	0.310	0.322	0.340	0.316	0.320	0.320	0.018
0:35:03	0.036	0.048	0.054	0.060	0.122	0.131	0.128	0.121	0.112	0.129	0.125	0.138	0.129	0.119	0.129	0.135	0.119	0.124	0.121	0.046	0.032	0.153	0.159	0.164	0.223	0.237	0.237	0.230	0.219	0.233	0.230	0.243	0.235	0.229	0.237	0.242	0.227	0.224	0.224	0.023	0.028	0.254	0.264	0.268	0.332	0.345	0.343	0.338	0.328	0.342	0.338	0.344	0.338	0.337	0.339	0.345	0.332	0.327	0.333	0.020
0:40:03	0.041	0.058	0.062	0.069	0.136	0.148	0.141	0.132	0.132	0.146	0.138	0.149	0.147	0.138	0.142	0.152	0.134	0.144	0.139	0.047	0.036	0.161	0.164	0.178	0.236	0.251	0.242	0.232	0.234	0.252	0.240	0.258	0.248	0.244	0.248	0.257	0.238	0.249	0.244	0.030	0.037	0.263	0.266	0.281	0.342	0.354	0.350	0.337	0.338	0.361	0.340	0.364	0.356	0.349	0.351	0.365	0.344	0.356	0.350	0.025
0:45:03	0.042	0.064	0.064	0.078	0.149	0.165	0.161	0.148	0.148	0.162	0.158	0.168	0.158	0.153	0.154	0.162	0.153	0.161	0.152	0.055	0.041	0.167	0.169	0.183	0.258	0.274	0.266	0.250	0.252	0.269	0.263	0.273	0.265	0.259	0.262	0.263	0.255	0.268	0.258	0.038	0.040	0.274	0.270	0.283	0.360	0.380	0.374	0.354	0.360	0.371	0.372	0.377	0.375	0.368	0.365	0.366	0.363	0.375	0.363	0.030
																																																												
Read 2:485/20,528/20																																																											
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3010	4062	5035	13082	14059	15051	13082	14079	15054	13092	14013	15033	3088	4063	5074	13063	14055	15062	100	100	5028	6103	7079	15106	16068	17133	15160	16132	17076	15182	16083	17133	5104	6148	7108	15119	16133	17113	100
0:05:03	125	1095	2027	3021	12024	13004	14044	12040	13019	14019	12025	13020	14080	1011	2062	3025	12061	13035	14010	193	138	3148	4080	5064	14057	15075	16092	14130	15056	16091	14099	15106	16088	3032	4145	5104	14128	15097	16087	138	107	5246	6133	7091	16058	17162	18151	16195	17148	18183	16135	17120	18149	5081	6235	7188	16222	17194	18165	186
0:10:03	184	1104	2070	3066	13112	14040	15057	13082	14114	15044	13077	14042	15114	1085	2129	3065	13088	14112	15031	250	222	3123	4081	5142	15135	16069	17079	15132	16120	17104	15092	16069	17165	3148	4223	5138	15143	16124	17112	234	193	5213	6167	7199	17177	18070	19150	17214	18136	19117	17187	18143	19220	5167	6266	7145	17168	18221	19148	252
0:15:03	252	1126	2134	3109	14127	15089	16084	14117	15168	16048	14167	15058	16196	1145	2185	3135	14151	15189	16032	311	262	3145	4199	5114	16198	17173	18086	16148	17249	18146	16227	17152	18267	3221	4231	5157	16214	17266	18109	257	210	5167	6250	7161	18264	19215	20163	18162	19311	20194	18249	19153	20345	5295	6246	7243	18259	19321	20120	311
0:20:03	343	1225	2140	3118	15211	16184	17131	15155	16246	17065	15232	16145	17204	1182	2269	3156	15166	16193	17105	359	336	3319	4157	5209	17229	18186	19220	17239	18330	19146	17294	18228	19297	3220	4294	5159	17169	18288	19186	291	259	5357	6161	7304	19259	20245	21256	19272	20405	21155	19324	20319	21395	5221	6295	7244	19261	20362	21199	366
0:25:03	356	1231	2202	3157	16261	17250	18226	16213	17299	18090	16319	17159	18286	1278	2346	3205	16224	17231	18143	388	420	3288	4262	5180	18276	19278	20242	18225	19313	20120	18341	19230	20381	3297	4404	5299	18279	19313	20152	376	316	5353	6288	7217	20337	21372	22309	20255	21350	22138	20370	21290	22429	5395	6488	7335	20287	21355	22196	425
0:30:03	393	1317	2227	3181	17297	18347	19228	17256	18395	19094	17335	18186	19338	1357	2353	3245	17251	18278	19197	458	512	3320	4240	5264	19395	20426	21324	19275	20403	21127	19358	20240	21424	3446	4401	5281	19337	20361	21238	387	357	5354	6322	7302	21473	22516	23378	21280	22416	23154	21364	22289	23495	5546	6454	7319	21427	22408	23335	514
0:35:03	406	1323	2268	3198	18393	19369	20238	18263	19405	20116	18336	19243	20349	1395	2449	3315	18351	19339	20219	535	572	3355	4358	5291	20472	21393	22250	20316	21438	22155	20423	21329	22434	3471	4501	5330	20416	21427	22288	446	395	5373	6403	7339	22565	23493	24343	22322	23456	24230	22513	23372	24510	5545	6535	7350	22440	23519	24358	515
0:40:03	453	1350	2314	3291	19484	20442	21313	19351	20494	21170	19407	20323	21443	1403	2484	3352	19442	20399	21296	590	616	3355	4357	5369	21560	22477	23344	21449	22554	23220	21504	22342	23475	3424	4509	5439	21481	22441	23345	495	403	5371	6426	7396	23585	24537	25375	23454	24582	25305	23508	24426	25546	5463	6511	7456	23536	24477	25361	527
0:45:03	471	1420	2377	3381	20556	21469	22400	20377	21589	22222	20410	21408	22470	1496	2549	3386	20456	21444	22328	662	640	3473	4417	5436	22599	23506	24403	22417	23683	24271	22509	23473	24567	3511	4639	5445	22492	23459	24416	553	410	5484	6419	7475	24611	25560	26484	24446	25711	26331	24518	25551	26573	5598	6657	7498	24584	25491	26498	570
