Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.010	0.014	0.028	0.036	0.024	0.036	0.043	0.030	0.037	0.045	0.020	0.038	0.049	0.029	0.039	0.043	0.025	0.039	0.031	0.010	0.007	0.118	0.129	0.141	0.125	0.137	0.147	0.139	0.143	0.155	0.123	0.139	0.152	0.134	0.145	0.149	0.128	0.147	0.140	0.009	0.003	0.228	0.230	0.242	0.230	0.243	0.251	0.239	0.251	0.256	0.230	0.245	0.256	0.242	0.253	0.249	0.234	0.256	0.242	0.009
0:10:03	0.010	0.022	0.031	0.037	0.043	0.054	0.060	0.045	0.051	0.057	0.035	0.048	0.061	0.047	0.056	0.053	0.039	0.058	0.050	0.016	0.015	0.132	0.137	0.140	0.151	0.157	0.163	0.152	0.153	0.162	0.138	0.158	0.171	0.156	0.165	0.159	0.148	0.164	0.155	0.018	0.006	0.232	0.245	0.246	0.254	0.260	0.263	0.254	0.259	0.263	0.248	0.266	0.279	0.261	0.268	0.265	0.249	0.272	0.264	0.017
0:15:03	0.013	0.024	0.040	0.038	0.058	0.073	0.075	0.055	0.062	0.072	0.054	0.061	0.075	0.061	0.070	0.073	0.058	0.075	0.067	0.025	0.020	0.126	0.142	0.147	0.160	0.178	0.178	0.161	0.171	0.176	0.159	0.165	0.176	0.167	0.171	0.174	0.168	0.178	0.170	0.023	0.010	0.230	0.250	0.248	0.268	0.285	0.280	0.264	0.272	0.285	0.259	0.267	0.282	0.272	0.276	0.280	0.270	0.285	0.276	0.023
0:20:03	0.021	0.025	0.049	0.044	0.077	0.084	0.089	0.070	0.077	0.085	0.066	0.074	0.094	0.077	0.082	0.085	0.070	0.089	0.081	0.025	0.030	0.130	0.158	0.148	0.186	0.186	0.198	0.171	0.186	0.193	0.167	0.177	0.204	0.185	0.188	0.191	0.171	0.192	0.184	0.030	0.016	0.233	0.267	0.248	0.296	0.286	0.302	0.280	0.291	0.298	0.276	0.281	0.304	0.293	0.293	0.297	0.273	0.302	0.293	0.023
0:25:03	0.025	0.035	0.051	0.047	0.088	0.097	0.102	0.085	0.094	0.098	0.077	0.086	0.107	0.093	0.095	0.096	0.085	0.101	0.099	0.032	0.035	0.141	0.158	0.148	0.195	0.200	0.205	0.188	0.198	0.202	0.184	0.196	0.210	0.203	0.201	0.204	0.190	0.209	0.204	0.032	0.025	0.245	0.268	0.256	0.297	0.307	0.308	0.297	0.304	0.307	0.289	0.302	0.314	0.305	0.308	0.311	0.293	0.311	0.310	0.025
0:30:03	0.031	0.038	0.054	0.053	0.106	0.111	0.113	0.101	0.111	0.110	0.087	0.097	0.122	0.107	0.112	0.115	0.101	0.114	0.110	0.038	0.042	0.147	0.157	0.161	0.211	0.218	0.218	0.210	0.216	0.215	0.187	0.197	0.223	0.210	0.215	0.218	0.205	0.224	0.218	0.034	0.025	0.252	0.260	0.268	0.320	0.326	0.323	0.316	0.316	0.317	0.295	0.298	0.330	0.316	0.319	0.324	0.306	0.328	0.318	0.034
0:35:03	0.037	0.048	0.057	0.059	0.122	0.125	0.124	0.120	0.126	0.121	0.101	0.107	0.140	0.123	0.130	0.127	0.120	0.131	0.125	0.045	0.043	0.151	0.158	0.166	0.224	0.235	0.229	0.230	0.235	0.226	0.205	0.214	0.245	0.227	0.235	0.232	0.222	0.231	0.232	0.039	0.030	0.259	0.263	0.274	0.333	0.338	0.334	0.337	0.343	0.327	0.314	0.315	0.348	0.329	0.338	0.333	0.328	0.335	0.342	0.041
0:40:03	0.038	0.055	0.065	0.064	0.136	0.144	0.138	0.139	0.141	0.139	0.118	0.120	0.156	0.140	0.147	0.145	0.133	0.151	0.143	0.047	0.052	0.164	0.171	0.171	0.240	0.251	0.246	0.246	0.244	0.247	0.225	0.221	0.262	0.245	0.248	0.250	0.237	0.260	0.246	0.044	0.036	0.273	0.276	0.279	0.349	0.356	0.353	0.350	0.345	0.355	0.329	0.329	0.363	0.347	0.352	0.359	0.339	0.363	0.356	0.045
0:45:03	0.042	0.056	0.067	0.073	0.154	0.160	0.152	0.153	0.158	0.152	0.133	0.131	0.171	0.154	0.158	0.159	0.144	0.161	0.155	0.049	0.057	0.159	0.170	0.178	0.263	0.269	0.253	0.259	0.260	0.257	0.235	0.233	0.278	0.254	0.262	0.266	0.250	0.269	0.259	0.051	0.042	0.266	0.280	0.285	0.367	0.373	0.355	0.361	0.369	0.358	0.339	0.338	0.385	0.362	0.367	0.376	0.357	0.378	0.366	0.049
																																																												
Read 2:485/20,528/20																																																											
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3020	4025	5096	13018	14053	15061	13010	14003	15076	13065	14043	15033	3053	4061	5043	13026	14024	15064	100	100	5070	6052	7108	15074	16100	17092	15101	16053	17147	15094	16118	17052	5120	6142	7072	15123	16076	17157	100
0:05:03	162	1049	2055	3078	12074	13096	14058	12060	13055	14016	12098	13064	14053	1085	2082	3096	12020	13034	14046	116	197	3101	4069	5090	14171	15180	16153	14084	15061	16034	14185	15065	16058	3108	4147	5121	14034	15123	16101	190	158	5185	6094	7137	16221	17265	18206	16089	17106	18094	16274	17077	18111	5181	6203	7182	16039	17158	18162	188
0:10:03	220	1077	2120	3155	13157	14130	15150	13077	14125	15032	13191	14088	15088	1158	2165	3188	13051	14124	15120	202	275	3082	4187	5223	15213	16199	17238	15101	16177	17110	15223	16146	17139	3208	4242	5199	15126	16145	17164	195	173	5175	6261	7231	17229	18249	19335	17190	18229	19158	17251	18242	19154	5237	6296	7237	17173	18166	19206	213
0:15:03	239	1147	2172	3237	14187	15170	16196	14087	15177	16130	14237	15126	16135	1162	2245	3211	14111	15191	16161	280	367	3191	4224	5256	16195	17260	18240	16114	17225	18176	16335	17206	18192	3216	4292	5278	16198	17264	18198	268	213	5205	6286	7344	18245	19314	20311	18131	19307	20184	18340	19230	20279	5315	6306	7336	18269	19279	20285	218
0:20:03	331	1150	2180	3302	15261	16257	17227	15096	16177	17173	15308	16132	17137	1208	2309	3281	15146	16232	17169	358	385	3215	4200	5357	17282	18329	19306	17167	18255	19196	17370	18228	19173	3252	4342	5299	17175	18328	19258	343	307	5276	6233	7383	19366	20394	21309	19183	20291	21252	19419	20292	21213	5300	6348	7305	19193	20372	21268	312
0:25:03	431	1222	2264	3313	16336	17325	18307	16119	17205	18184	16407	17168	18170	1291	2387	3369	16223	17249	18249	432	397	3235	4297	5336	18423	19421	20375	18202	19283	20192	18486	19254	20252	3346	4390	5436	18251	19312	20348	369	341	5324	6304	7368	20462	21504	22475	20275	21313	22263	20534	21292	22274	5396	6441	7442	20267	21356	22438	401
0:30:03	511	1268	2299	3398	17418	18349	19372	17158	18269	19270	17479	18234	19174	1341	2425	3400	17247	18316	19337	435	473	3305	4396	5410	19438	20416	21426	19198	20287	21331	19560	20274	21269	3405	4436	5425	19291	20317	21418	424	377	5319	6476	7453	21503	22453	23498	21261	22291	23388	21561	22278	23288	5464	6440	7522	21371	22362	23429	490
0:35:03	607	1320	2379	3457	18432	19353	20445	18186	19361	20344	18497	19266	20218	1378	2430	3461	18290	19331	20384	442	497	3411	4429	5542	20476	21380	22514	20266	21380	22358	20536	21349	22283	3437	4465	5551	20377	21404	22472	431	391	5498	6444	7570	22501	23467	24599	22318	23448	24434	22624	23387	24379	5460	6530	7558	22456	23460	24493	509
0:40:03	658	1396	2446	3497	19481	20361	21490	19282	20446	21408	19535	20289	21226	1455	2505	3556	19369	20401	21388	492	576	3454	4486	5581	21575	22364	23561	21292	22507	23417	21629	22298	23236	3549	4535	5620	21452	22409	23488	495	427	5504	6524	7649	23667	24416	25623	23356	24519	25507	23714	24386	25295	5584	6586	7666	23530	24467	25571	551
0:45:03	688	1405	2473	3545	20564	21440	22515	20359	21469	22430	20536	21336	22289	1548	2585	3591	20419	21460	22435	532	583	3463	4510	5617	22634	23463	24529	22429	23471	24465	22567	23428	24388	3633	4629	5650	22509	23543	24492	587	520	5464	6529	7619	24674	25536	26563	24444	25560	26551	24664	25432	26424	5730	6666	7708	24539	25592	26547	582
