Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.001	0.019	0.024	0.037	0.026	0.037	0.044	0.022	0.038	0.044	0.030	0.039	0.042	0.021	0.031	0.041	0.023	0.034	0.031	0.002	0.001	0.127	0.126	0.141	0.127	0.141	0.147	0.124	0.142	0.151	0.130	0.140	0.151	0.130	0.132	0.145	0.123	0.135	0.131	0.001	0.009	0.231	0.229	0.248	0.235	0.241	0.255	0.230	0.246	0.251	0.237	0.241	0.257	0.236	0.236	0.248	0.225	0.239	0.239	0.003
0:10:03	0.002	0.020	0.032	0.042	0.037	0.047	0.054	0.032	0.054	0.063	0.042	0.059	0.058	0.037	0.047	0.061	0.040	0.045	0.042	0.002	0.007	0.121	0.138	0.151	0.137	0.150	0.159	0.141	0.156	0.163	0.146	0.163	0.167	0.144	0.153	0.167	0.146	0.148	0.144	0.006	0.013	0.226	0.239	0.255	0.239	0.257	0.268	0.244	0.262	0.263	0.250	0.271	0.270	0.250	0.253	0.274	0.255	0.249	0.245	0.008
0:15:03	0.007	0.024	0.037	0.049	0.047	0.063	0.067	0.050	0.069	0.081	0.056	0.072	0.073	0.057	0.061	0.079	0.051	0.058	0.062	0.006	0.015	0.132	0.141	0.154	0.155	0.172	0.174	0.151	0.170	0.182	0.161	0.177	0.182	0.157	0.164	0.189	0.159	0.159	0.164	0.006	0.020	0.236	0.245	0.263	0.265	0.273	0.276	0.259	0.279	0.291	0.261	0.282	0.291	0.259	0.265	0.290	0.259	0.266	0.272	0.016
0:20:03	0.012	0.024	0.043	0.056	0.060	0.077	0.085	0.068	0.089	0.092	0.074	0.088	0.088	0.072	0.072	0.097	0.066	0.074	0.075	0.015	0.018	0.133	0.144	0.162	0.165	0.184	0.190	0.172	0.189	0.202	0.177	0.188	0.197	0.176	0.173	0.199	0.175	0.180	0.176	0.012	0.028	0.241	0.252	0.269	0.270	0.290	0.295	0.281	0.293	0.305	0.283	0.290	0.297	0.279	0.282	0.305	0.285	0.281	0.279	0.019
0:25:03	0.013	0.033	0.045	0.059	0.080	0.088	0.105	0.078	0.106	0.110	0.087	0.101	0.100	0.091	0.085	0.116	0.078	0.091	0.089	0.021	0.023	0.138	0.153	0.166	0.185	0.189	0.209	0.181	0.207	0.218	0.192	0.210	0.205	0.199	0.187	0.223	0.182	0.194	0.191	0.017	0.030	0.242	0.261	0.270	0.291	0.291	0.319	0.289	0.315	0.322	0.297	0.318	0.306	0.299	0.294	0.326	0.282	0.297	0.296	0.027
0:30:03	0.017	0.034	0.052	0.069	0.098	0.103	0.124	0.090	0.124	0.126	0.098	0.112	0.114	0.103	0.097	0.127	0.090	0.102	0.108	0.027	0.032	0.142	0.153	0.177	0.205	0.211	0.230	0.194	0.230	0.236	0.207	0.213	0.216	0.205	0.206	0.232	0.195	0.205	0.217	0.026	0.038	0.251	0.258	0.279	0.311	0.319	0.335	0.300	0.332	0.343	0.311	0.318	0.325	0.307	0.315	0.337	0.302	0.310	0.323	0.035
0:35:03	0.024	0.043	0.057	0.077	0.115	0.123	0.136	0.102	0.141	0.136	0.114	0.128	0.125	0.117	0.116	0.144	0.105	0.113	0.124	0.036	0.036	0.148	0.163	0.183	0.222	0.224	0.246	0.204	0.249	0.246	0.220	0.231	0.226	0.222	0.220	0.245	0.214	0.222	0.232	0.028	0.044	0.252	0.270	0.285	0.331	0.329	0.355	0.305	0.354	0.352	0.325	0.336	0.327	0.325	0.326	0.347	0.319	0.330	0.333	0.039
0:40:03	0.025	0.046	0.066	0.084	0.129	0.135	0.154	0.118	0.158	0.147	0.127	0.142	0.137	0.130	0.131	0.163	0.122	0.128	0.140	0.036	0.041	0.146	0.169	0.191	0.235	0.245	0.255	0.223	0.266	0.254	0.234	0.251	0.240	0.236	0.240	0.269	0.229	0.237	0.246	0.031	0.044	0.253	0.270	0.297	0.339	0.348	0.363	0.326	0.366	0.357	0.341	0.355	0.341	0.344	0.349	0.378	0.330	0.340	0.353	0.043
0:45:03	0.025	0.049	0.076	0.090	0.144	0.154	0.169	0.130	0.174	0.164	0.138	0.156	0.151	0.145	0.151	0.180	0.139	0.142	0.157	0.042	0.047	0.155	0.182	0.198	0.253	0.260	0.275	0.237	0.278	0.265	0.244	0.262	0.256	0.245	0.257	0.290	0.243	0.242	0.257	0.032	0.050	0.260	0.284	0.305	0.362	0.364	0.378	0.338	0.381	0.366	0.351	0.362	0.362	0.350	0.360	0.397	0.349	0.345	0.358	0.045
																																																												
Read 2:485/20,528/20																																																										
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3047	4091	5017	13023	14078	15090	13028	14074	15012	13026	14050	15003	3097	4030	5009	13078	14089	15042	100	100	5123	6163	7063	15087	16108	17187	15032	16158	17014	15078	16084	17024	5176	6104	7009	15141	16133	17042	100
0:05:03	154	1044	2067	3025	12078	13041	14088	12035	13029	14030	12076	13090	14052	1018	2036	3023	12012	13029	14033	168	119	3090	4103	5042	14163	15044	16173	14115	15078	16057	14139	15132	16136	3072	4099	5059	14037	15074	16093	186	145	5176	6140	7061	16251	17056	18261	16213	17134	18106	16142	17163	18236	5164	6160	7072	16068	17110	18157	180
0:10:03	245	1118	2083	3050	13169	14056	15183	13056	14066	15050	13095	14096	15067	1060	2042	3067	13078	14070	15126	220	190	3192	4153	5130	15215	16126	17231	15118	16079	17122	15112	16116	17082	3075	4063	5115	15125	16101	17180	202	236	5245	6205	7227	17283	18221	19244	17124	18102	19187	17151	18129	19175	5128	6065	7210	17163	18149	19186	185
0:15:03	283	1167	2145	3122	14247	15111	16261	14119	15078	16132	14188	15181	16088	1100	2073	3146	14118	15147	16136	268	206	3244	4232	5181	16338	17163	18262	16199	17158	18144	16217	17215	18183	3179	4167	5232	16169	17199	18157	265	256	5263	6297	7278	18375	19189	20353	18254	19225	20231	18229	19285	20186	5268	6222	7297	18263	19214	20201	204
0:20:03	307	1182	2205	3194	15288	16205	17343	15128	16086	17140	15194	16205	17137	1116	2159	3227	15178	16218	17206	327	231	3252	4292	5283	17385	18224	19372	17225	18113	19200	17208	18280	19223	3142	4172	5241	17180	18223	19300	348	290	5254	6300	7379	19447	20261	21455	19240	20202	21218	19252	20313	21237	5228	6177	7262	19194	20322	21339	277
0:25:03	316	1227	2294	3226	16319	17278	18367	16146	17143	18237	16241	17220	18176	1167	2211	3257	16180	17289	18206	401	266	3282	4394	5313	18411	19330	20437	18182	19221	20306	18293	19278	20256	3243	4215	5320	18220	19352	20255	349	378	5378	6422	7347	20475	21371	22465	20212	21312	22346	20373	21296	22312	5271	6235	7349	20260	21407	22343	370
0:30:03	407	1257	2318	3303	17410	18338	19455	17175	18168	19259	17278	18229	19222	1199	2245	3272	17262	18325	19300	450	344	3306	4340	5333	19499	20410	21549	19222	20188	21305	19321	20243	21250	3265	4325	5345	19292	20360	21396	369	477	5388	6435	7430	21504	22437	23550	21256	22198	23372	21377	22284	23331	5309	6416	7387	21381	22430	23409	402
0:35:03	489	1292	2347	3321	18478	19374	20527	18181	19196	20298	18290	19249	20276	1278	2305	3281	18346	19424	20301	474	406	3310	4358	5396	20574	21433	22561	20200	21264	22348	20292	21252	22281	3364	4316	5319	20432	21522	22318	463	501	5338	6387	7459	22616	23506	24631	22213	23271	24363	22385	23270	24342	5440	6324	7394	22470	23566	24361	459
0:40:03	500	1336	2362	3374	19520	20453	21535	19237	20291	21372	19337	20337	21294	1285	2383	3363	19360	20492	21397	511	503	3431	4363	5424	21612	22479	23624	21269	22360	23447	21385	22338	23342	3326	4394	5426	21401	22572	23403	534	593	5432	6458	7478	23704	24523	25723	23305	24373	25485	23457	24398	25348	5363	6439	7493	23465	24580	25496	528
0:45:03	595	1385	2397	3418	20590	21517	22633	20330	21292	22386	20400	21416	22379	1337	2458	3400	20384	21534	22455	564	595	3470	4401	5508	22598	23558	24637	22381	23389	24435	22436	23500	24424	3408	4548	5434	22425	23571	24463	630	665	5544	6501	7535	24631	25654	26700	24388	25405	26517	24497	25542	26433	5481	6646	7436	24499	25637	26501	549
