Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.006	0.018	0.025	0.037	0.024	0.033	0.046	0.025	0.039	0.043	0.021	0.038	0.049	0.028	0.034	0.041	0.024	0.030	0.032	0.001	0.002	0.121	0.131	0.143	0.132	0.138	0.153	0.132	0.149	0.151	0.127	0.143	0.156	0.132	0.140	0.142	0.126	0.139	0.138	0.005	0.000	0.227	0.237	0.245	0.232	0.239	0.254	0.238	0.254	0.252	0.229	0.247	0.258	0.242	0.244	0.250	0.234	0.245	0.242	0.002
0:10:03	0.010	0.026	0.026	0.044	0.041	0.050	0.064	0.036	0.056	0.056	0.034	0.050	0.068	0.043	0.045	0.061	0.035	0.044	0.048	0.002	0.011	0.133	0.134	0.149	0.146	0.160	0.170	0.142	0.157	0.163	0.141	0.156	0.176	0.152	0.155	0.164	0.136	0.147	0.150	0.010	0.004	0.234	0.241	0.258	0.254	0.268	0.276	0.248	0.263	0.267	0.244	0.260	0.278	0.260	0.258	0.269	0.240	0.252	0.258	0.012
0:15:03	0.015	0.036	0.032	0.049	0.052	0.062	0.083	0.051	0.071	0.069	0.054	0.066	0.083	0.063	0.061	0.072	0.050	0.058	0.064	0.004	0.017	0.136	0.139	0.153	0.159	0.163	0.187	0.158	0.173	0.170	0.159	0.175	0.188	0.167	0.165	0.178	0.157	0.159	0.172	0.011	0.009	0.238	0.247	0.254	0.262	0.267	0.293	0.260	0.277	0.276	0.260	0.278	0.294	0.274	0.274	0.287	0.267	0.264	0.277	0.020
0:20:03	0.019	0.042	0.035	0.056	0.071	0.075	0.095	0.061	0.090	0.081	0.065	0.079	0.100	0.077	0.072	0.092	0.066	0.078	0.083	0.006	0.018	0.144	0.136	0.158	0.177	0.178	0.199	0.167	0.198	0.183	0.165	0.186	0.201	0.184	0.175	0.201	0.175	0.182	0.187	0.020	0.012	0.252	0.237	0.260	0.287	0.280	0.306	0.272	0.305	0.290	0.274	0.286	0.310	0.286	0.276	0.305	0.276	0.290	0.292	0.029
0:25:03	0.022	0.043	0.042	0.061	0.090	0.092	0.114	0.075	0.107	0.097	0.083	0.090	0.111	0.092	0.084	0.102	0.082	0.093	0.100	0.008	0.025	0.147	0.151	0.168	0.200	0.193	0.222	0.183	0.215	0.201	0.190	0.199	0.218	0.198	0.193	0.202	0.184	0.202	0.208	0.029	0.020	0.255	0.256	0.278	0.310	0.301	0.325	0.291	0.324	0.310	0.297	0.304	0.324	0.304	0.302	0.311	0.285	0.308	0.312	0.033
0:30:03	0.029	0.047	0.045	0.065	0.109	0.110	0.130	0.095	0.125	0.114	0.098	0.101	0.122	0.102	0.100	0.114	0.094	0.108	0.119	0.014	0.026	0.153	0.148	0.174	0.215	0.210	0.232	0.195	0.227	0.223	0.205	0.204	0.228	0.208	0.203	0.217	0.201	0.211	0.225	0.029	0.023	0.262	0.255	0.276	0.318	0.314	0.337	0.295	0.330	0.324	0.305	0.313	0.334	0.316	0.305	0.326	0.308	0.319	0.330	0.035
0:35:03	0.030	0.052	0.051	0.068	0.126	0.124	0.143	0.108	0.135	0.125	0.112	0.112	0.134	0.112	0.111	0.133	0.112	0.126	0.134	0.020	0.028	0.160	0.155	0.170	0.228	0.224	0.243	0.211	0.237	0.233	0.216	0.218	0.236	0.221	0.217	0.242	0.215	0.232	0.241	0.031	0.029	0.260	0.264	0.272	0.333	0.328	0.348	0.313	0.340	0.334	0.324	0.328	0.338	0.323	0.319	0.352	0.323	0.337	0.347	0.039
0:40:03	0.031	0.061	0.058	0.071	0.144	0.136	0.156	0.123	0.147	0.142	0.123	0.122	0.148	0.130	0.129	0.146	0.127	0.137	0.148	0.024	0.028	0.165	0.164	0.179	0.251	0.245	0.266	0.226	0.250	0.246	0.226	0.227	0.252	0.237	0.231	0.252	0.229	0.242	0.251	0.033	0.038	0.269	0.267	0.286	0.357	0.353	0.373	0.335	0.358	0.347	0.329	0.329	0.359	0.347	0.332	0.356	0.335	0.343	0.356	0.044
0:45:03	0.038	0.063	0.066	0.078	0.157	0.156	0.176	0.138	0.157	0.157	0.137	0.139	0.161	0.150	0.145	0.156	0.147	0.154	0.159	0.034	0.036	0.165	0.171	0.186	0.258	0.258	0.277	0.238	0.257	0.262	0.237	0.241	0.265	0.252	0.255	0.257	0.253	0.259	0.263	0.035	0.043	0.270	0.278	0.293	0.367	0.362	0.382	0.338	0.365	0.366	0.344	0.343	0.371	0.355	0.358	0.365	0.363	0.363	0.364	0.052
																																																												
Read 2:485/20,528/20																																																												
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3057	4093	5068	13094	14046	15064	13095	14023	15074	13044	14004	15066	3082	4017	5034	13015	14081	15012	100	100	5145	6132	7088	15173	16088	17066	15133	16088	17094	15085	16055	17161	5084	6041	7095	15032	16137	17045	100
0:05:03	156	1000	2014	3004	12026	13054	14075	12003	13001	14040	12099	13021	14020	1019	2009	3016	12075	13048	14014	169	150	3055	4072	5015	14058	15080	16083	14009	15023	16136	14157	15034	16066	3045	4025	5022	14096	15091	16017	197	130	5153	6134	7020	16136	17094	18136	16062	17107	18185	16167	17074	18088	5100	6109	7078	16170	17128	18105	175
0:10:03	218	1071	2056	3010	13115	14069	15087	13091	14061	15076	13136	14041	15116	1114	2030	3115	13158	14137	15074	207	207	3148	4084	5018	15171	16125	17127	15154	16079	17110	15224	16118	17143	3186	4071	5181	15215	16161	17145	270	139	5244	6084	7042	17216	18164	19221	17217	18156	19177	17271	18171	19228	5233	6082	7266	17312	18259	19157	273
0:15:03	261	1147	2131	3078	14208	15110	16157	14102	15073	16083	14213	15087	16195	1123	2063	3157	14159	15232	16084	284	242	3171	4179	5124	16266	17175	18175	16104	17122	18121	16268	17121	18216	3171	4134	5184	16220	17259	18088	350	223	5262	6263	7142	18325	19217	20266	18134	19132	20169	18310	19216	20292	5193	6180	7197	18316	19265	20187	337
0:20:03	300	1220	2172	3163	15275	16178	17191	15193	16113	17096	15229	16175	17282	1182	2114	3248	15206	16246	17128	375	244	3274	4187	5262	17289	18181	19260	17198	18118	19178	17299	18247	19358	3226	4198	5269	17231	18249	19161	377	261	5343	6215	7267	19381	20238	21272	19250	20152	21240	19307	20300	21450	5302	6246	7319	19280	20283	21208	372
0:25:03	310	1248	2237	3184	16375	17235	18274	16207	17194	18115	16291	17188	18347	1240	2191	3345	16233	17277	18138	440	296	3302	4304	5208	18445	19315	20316	18208	19255	20162	18294	19273	20386	3282	4238	5352	18289	19342	20186	386	354	5324	6325	7306	20534	21335	22362	20279	21261	22202	20379	21303	22479	5318	6246	7443	20325	21357	22275	442
0:30:03	379	1267	2253	3215	17430	18253	19368	17260	18255	19209	17300	18278	19421	1251	2227	3397	17323	18291	19221	490	322	3344	4277	5294	19513	20285	21372	19348	20346	21216	19371	20334	21510	3332	4248	5440	19411	20344	21231	394	367	5345	6299	7317	21604	22378	23442	21409	22439	23259	21443	22364	23511	5371	6261	7447	21507	22361	23305	454
0:35:03	394	1331	2279	3286	18500	19265	20399	18300	19324	20224	18329	19346	20481	1340	2239	3413	18338	19355	20285	496	395	3341	4349	5370	20541	21286	22425	20389	21374	22322	20366	21425	22571	3417	4326	5498	20419	21412	22313	435	441	5367	6379	7394	22616	23298	24518	22469	23405	24328	22415	23487	24623	5454	6356	7543	22430	23412	24379	471
0:40:03	403	1428	2339	3287	19596	20312	21399	19359	20329	21279	19338	20415	21484	1350	2254	3477	19438	20394	21337	558	396	3519	4388	5326	21645	22371	23486	21386	22369	23379	21427	22510	23527	3420	4292	5515	21476	22429	23352	443	501	5585	6439	7389	23728	24452	25573	23458	24434	25388	23516	24563	25618	5492	6341	7600	23526	24521	25365	488
0:45:03	442	1500	2367	3351	20606	21396	22444	20378	21372	22297	20367	21513	22572	1437	2347	3514	20481	21485	22368	640	435	3507	4455	5362	22635	23430	24504	22424	23401	24382	22462	23608	24665	3482	4349	5596	22516	23516	24384	531	520	5547	6470	7439	24672	25472	26524	24434	25486	26466	24477	25668	26676	5527	6362	7676	24559	25602	26433	574
