Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
0:05:03	0.005	0.016	0.030	0.039	0.027	0.038	0.050	0.027	0.038	0.044	0.020	0.040	0.044	0.030	0.031	0.042	0.022	0.037	0.033	0.002	0.001	0.123	0.130	0.148	0.132	0.143	0.154	0.133	0.138	0.144	0.123	0.146	0.152	0.135	0.137	0.148	0.125	0.146	0.142	0.000	0.002	0.232	0.234	0.253	0.239	0.248	0.258	0.240	0.244	0.250	0.229	0.253	0.253	0.237	0.243	0.255	0.229	0.256	0.243	0.002
0:10:03	0.006	0.025	0.036	0.044	0.041	0.053	0.061	0.044	0.050	0.061	0.038	0.055	0.056	0.046	0.049	0.055	0.040	0.050	0.048	0.003	0.009	0.127	0.140	0.147	0.150	0.154	0.163	0.147	0.154	0.165	0.141	0.164	0.164	0.154	0.150	0.160	0.146	0.156	0.154	0.007	0.004	0.232	0.248	0.253	0.254	0.255	0.266	0.249	0.262	0.269	0.250	0.266	0.264	0.257	0.252	0.266	0.250	0.258	0.264	0.008
0:15:03	0.011	0.029	0.042	0.054	0.061	0.068	0.076	0.062	0.068	0.071	0.051	0.073	0.075	0.060	0.063	0.072	0.052	0.070	0.059	0.004	0.018	0.131	0.148	0.155	0.162	0.171	0.185	0.164	0.174	0.174	0.153	0.179	0.179	0.166	0.170	0.173	0.155	0.172	0.163	0.015	0.012	0.233	0.248	0.264	0.270	0.273	0.286	0.273	0.281	0.275	0.256	0.287	0.289	0.271	0.273	0.282	0.265	0.278	0.265	0.017
0:20:03	0.017	0.036	0.044	0.063	0.073	0.085	0.096	0.080	0.082	0.086	0.064	0.084	0.091	0.078	0.073	0.091	0.065	0.080	0.076	0.011	0.020	0.140	0.151	0.165	0.175	0.191	0.197	0.180	0.186	0.194	0.173	0.184	0.195	0.179	0.182	0.193	0.171	0.189	0.181	0.018	0.017	0.241	0.260	0.273	0.279	0.292	0.304	0.284	0.292	0.301	0.278	0.292	0.298	0.283	0.287	0.299	0.278	0.294	0.285	0.027
0:25:03	0.018	0.037	0.047	0.072	0.085	0.102	0.110	0.098	0.099	0.097	0.080	0.103	0.104	0.091	0.085	0.102	0.079	0.093	0.096	0.017	0.022	0.141	0.153	0.175	0.190	0.211	0.215	0.201	0.204	0.199	0.180	0.205	0.211	0.199	0.187	0.211	0.184	0.200	0.198	0.020	0.022	0.250	0.262	0.276	0.295	0.318	0.323	0.305	0.310	0.302	0.288	0.311	0.313	0.302	0.291	0.321	0.293	0.302	0.299	0.029
0:30:03	0.026	0.043	0.054	0.073	0.098	0.122	0.125	0.112	0.115	0.115	0.097	0.114	0.123	0.109	0.096	0.121	0.096	0.108	0.112	0.026	0.031	0.153	0.155	0.174	0.204	0.222	0.235	0.215	0.221	0.223	0.201	0.216	0.225	0.210	0.201	0.226	0.196	0.217	0.220	0.023	0.030	0.260	0.257	0.276	0.311	0.329	0.342	0.324	0.324	0.326	0.308	0.322	0.331	0.319	0.303	0.335	0.305	0.322	0.328	0.039
0:35:03	0.033	0.045	0.061	0.078	0.112	0.132	0.144	0.127	0.133	0.133	0.109	0.130	0.135	0.126	0.111	0.133	0.107	0.122	0.124	0.034	0.036	0.146	0.168	0.186	0.220	0.239	0.253	0.228	0.241	0.237	0.212	0.237	0.243	0.232	0.214	0.234	0.216	0.224	0.228	0.024	0.031	0.252	0.275	0.286	0.322	0.347	0.363	0.335	0.344	0.343	0.319	0.340	0.345	0.338	0.321	0.336	0.319	0.333	0.336	0.040
0:40:03	0.039	0.052	0.067	0.080	0.123	0.151	0.157	0.146	0.147	0.148	0.125	0.141	0.153	0.141	0.130	0.146	0.117	0.134	0.137	0.037	0.043	0.153	0.168	0.185	0.229	0.256	0.258	0.250	0.249	0.254	0.228	0.245	0.261	0.248	0.236	0.255	0.223	0.235	0.245	0.025	0.032	0.257	0.276	0.285	0.337	0.358	0.360	0.353	0.350	0.364	0.331	0.349	0.366	0.356	0.341	0.365	0.330	0.344	0.355	0.049
0:45:03	0.046	0.058	0.074	0.082	0.139	0.162	0.171	0.159	0.164	0.163	0.138	0.155	0.166	0.155	0.142	0.157	0.131	0.154	0.156	0.039	0.048	0.163	0.182	0.189	0.244	0.268	0.273	0.268	0.269	0.267	0.239	0.259	0.273	0.260	0.250	0.260	0.235	0.263	0.260	0.035	0.037	0.270	0.284	0.298	0.352	0.369	0.376	0.374	0.373	0.367	0.341	0.360	0.377	0.362	0.359	0.369	0.345	0.364	0.363	0.049
																																																												
Read 2:485/20,528/20																																																												
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	100	1000	2000	3000	11000	12000	13000	11000	12000	13000	11000	12000	13000	1000	2000	3000	11000	12000	13000	100	100	3016	4034	5095	13025	14044	15020	13027	14002	15000	13099	14004	15071	3098	4038	5080	13075	14079	15007	100	100	5065	6036	7126	15047	16076	17114	15110	16009	17090	15183	16036	17102	5115	6052	7164	15123	16133	17029	100
0:05:03	198	1025	2029	3067	12030	13090	14089	12030	13007	14026	12036	13050	14042	1042	2091	3016	12067	13065	14013	163	196	3092	4055	5132	14033	15183	16098	14102	15036	16065	14127	15060	16117	3117	4174	5059	14157	15128	16078	191	156	5185	6135	7175	16082	17184	18195	16199	17123	18074	16127	17128	18126	5191	6269	7068	16176	17165	18080	191
0:10:03	203	1112	2111	3155	13057	14108	15159	13042	14037	15116	13090	14103	15106	1047	2182	3093	13108	14091	15054	199	242	3170	4144	5163	15094	16200	17205	15055	16078	17173	15155	16163	17109	3144	4221	5178	15118	16161	17120	274	183	5174	6203	7183	17176	18265	19235	17115	18105	19267	17164	18228	19195	5229	6308	7191	17196	18225	19134	239
0:15:03	218	1167	2157	3250	14071	15143	16177	14122	15128	16205	14150	15142	16150	1089	2206	3127	14110	15179	16135	227	278	3206	4162	5275	16162	17181	18234	16180	17205	18221	16230	17210	18236	3132	4258	5137	16197	17223	18198	316	213	5275	6243	7345	18172	19269	20234	18241	19207	20270	18276	19212	20258	5135	6333	7230	18278	19321	20271	299
0:20:03	259	1259	2197	3349	15087	16167	17190	15176	16210	17300	15157	16170	17178	1116	2240	3148	15152	16202	17217	281	343	3324	4217	5404	17114	18169	19237	17228	18251	19304	17232	18202	19221	3213	4263	5179	17163	18217	19269	414	223	5348	6239	7468	19196	20223	21324	19256	20268	21385	19322	20207	21261	5271	6346	7240	19210	20232	21289	310
0:25:03	355	1331	2285	3362	16137	17238	18191	16235	17240	18342	16185	17235	18259	1144	2312	3195	16167	17279	18227	319	401	3388	4331	5457	18139	19277	20265	18253	19253	20433	18243	19245	20272	3194	4405	5196	18233	19302	20307	475	318	5471	6361	7498	20238	21280	22340	20276	21257	22441	20247	21330	22332	5273	6463	7233	20308	21304	22350	405
0:30:03	448	1425	2294	3446	17148	18299	19195	17282	18339	19410	17240	18276	19344	1202	2349	3284	17198	18311	19230	394	440	3455	4380	5487	19155	20394	21255	19363	20406	21488	19274	20322	21419	3263	4378	5303	19257	20365	21279	570	418	5555	6435	7558	21219	22399	23334	21459	22479	23537	21298	22397	23474	5332	6380	7344	21272	22398	23318	454
0:35:03	531	1489	2368	3502	18156	19349	20254	18310	19355	20454	18308	19370	20410	1228	2363	3309	18254	19361	20316	460	531	3548	4403	5587	20166	21413	22276	20319	21406	22470	20352	21374	22506	3229	4409	5381	20353	21411	22395	666	440	5564	6500	7594	22208	23418	24364	22352	23475	24516	22434	23423	24535	5325	6498	7392	22442	23441	24442	456
0:40:03	591	1534	2453	3596	19240	20432	21315	19321	20417	21541	19371	20382	21478	1281	2380	3403	19314	20431	21402	536	628	3555	4519	5598	21258	22434	23332	21327	22464	23629	21462	22398	23536	3299	4474	5450	21332	22504	23413	741	487	5604	6576	7686	23332	24465	25394	23332	24483	25653	23497	24439	25550	5380	6483	7459	23350	24564	25440	464
0:45:03	654	1549	2468	3638	20318	21529	22372	20354	21458	22563	20419	21441	22525	1301	2453	3454	20383	21525	22477	593	714	3617	4501	5737	22331	23596	24460	22366	23555	24595	22436	23520	24606	3387	4503	5487	22393	23624	24562	838	564	5675	6570	7811	24346	25695	26506	24395	25557	26651	24491	25569	26659	5431	6562	7560	24476	25640	26571	555
